MaterialID,MaterialName,MaterialCategory,UnitOfMeasure,UnitCost,SupplierID,LeadTimeDays,MinOrderQty,CurrentStock,ReorderPoint,SupplierName,LeadTimeAvg,Stockout_Risk
MAT-0020,PTFE Tape,Plastic,Roll,8,SUP-002,10,500,607,356,FastenerWorld Inc,21,False
MAT-0021,Epoxy Resin,Resin,Liter,65,SUP-008,16,25,957,386,PrecisionCast Inc,7,False
MAT-0022,Polyurethane,Polymer,Liter,48,SUP-009,13,100,1405,442,ComposiTech Materials,21,False
MAT-0023,ABS Plastic,Plastic,Kg,15,SUP-004,17,500,918,281,PlastiForm Corp,10,False
MAT-0024,Polycarbonate,Plastic,Sheet,125,SUP-010,15,500,1044,136,SealMaster Corp,5,False
MAT-0025,Ceramic Insert,Ceramic,Piece,35,SUP-001,16,500,1293,303,MetalPro Supplies,7,False
MAT-0026,Glass Fiber,Composite,Meter,28,SUP-012,6,500,955,479,WireWorks Inc,28,False
MAT-0027,Carbon Fiber,Composite,Meter,180,SUP-013,13,10,898,121,CoatingPro Solutions,10,False
MAT-0028,Kevlar Sheet,Composite,Sheet,220,SUP-015,16,500,609,323,ToolingPro Ltd,14,False
MAT-0029,Lubricant Oil,Lubricant,Liter,25,SUP-014,13,50,491,109,AlloyMaster Corp,7,False
MAT-0030,Grease Compound,Lubricant,Kg,18,SUP-011,11,10,1596,335,BearingPro Ltd,14,False
MAT-0031,Adhesive Compound,Adhesive,Tube,12,SUP-009,14,25,1099,139,ComposiTech Materials,21,False
MAT-0032,Solder Wire,Solder,Spool,35,SUP-005,7,50,283,260,ElectroParts Ltd,5,False
MAT-0033,Flux Paste,Chemical,Jar,22,SUP-008,18,50,756,394,PrecisionCast Inc,7,False
MAT-0034,Paint Primer,Paint,Liter,32,SUP-011,5,50,930,319,BearingPro Ltd,14,False
MAT-0035,Powder Coating,Coating,Kg,55,SUP-001,5,50,277,393,MetalPro Supplies,7,True
MAT-0036,Anodize Solution,Chemical,Liter,42,SUP-001,5,10,630,307,MetalPro Supplies,7,False
MAT-0037,Screw M4,Fastener,Box,8,SUP-008,5,25,1438,463,PrecisionCast Inc,7,False
MAT-0038,Screw M6,Fastener,Box,12,SUP-014,16,25,1439,427,AlloyMaster Corp,7,False
MAT-0039,Bolt M8,Fastener,Box,18,SUP-007,6,500,1264,313,RubberTech Co,14,False
MAT-0040,Bolt M10,Fastener,Box,25,SUP-007,14,100,1046,248,RubberTech Co,14,False
MAT-0041,Nut M4,Fastener,Box,5,SUP-011,7,10,1129,158,BearingPro Ltd,14,False
MAT-0042,Nut M6,Fastener,Box,8,SUP-002,20,25,1416,307,FastenerWorld Inc,21,False
MAT-0043,Washer M8,Fastener,Box,6,SUP-008,4,10,681,110,PrecisionCast Inc,7,False
MAT-0044,Spring Washer,Fastener,Box,10,SUP-012,21,10,143,266,WireWorks Inc,28,True
MAT-0045,O-Ring Small,Seal,Pack,15,SUP-015,20,500,501,187,ToolingPro Ltd,14,False
MAT-0046,O-Ring Medium,Seal,Pack,22,SUP-008,20,25,859,416,PrecisionCast Inc,7,False
MAT-0047,O-Ring Large,Seal,Pack,35,SUP-002,13,100,1277,335,FastenerWorld Inc,21,False
MAT-0048,Bearing Ball,Bearing,Pack,45,SUP-015,6,100,162,453,ToolingPro Ltd,14,True
MAT-0049,Bearing Roller,Bearing,Pack,65,SUP-002,16,100,65,285,FastenerWorld Inc,21,True
MAT-0050,Seal Ring,Seal,Pack,28,SUP-006,14,50,468,145,SteelMax Industries,18,False
